country,label,hightemp_1990,hightemp_1991,hightemp_1992,hightemp_1993,hightemp_1994,hightemp_1995,hightemp_1996,hightemp_1997,hightemp_1998,hightemp_1999,hightemp_2000,hightemp_2001,hightemp_2002,hightemp_2003,hightemp_2004,hightemp_2005,hightemp_2006,hightemp_2007,hightemp_2008,hightemp_2009,hightemp_2010,hightemp_2011,hightemp_2012,hightemp_2013,hightemp_2014,hightemp_2015,hightemp_2016,hightemp_2017,hightemp_2018,hightemp_2019,<span style='display:none;'>S1</span>,iso2,location,lowtemp_1990,lowtemp_1991,lowtemp_1992,lowtemp_1993,lowtemp_1994,lowtemp_1995,lowtemp_1996,lowtemp_1997,lowtemp_1998,lowtemp_1999,lowtemp_2000,lowtemp_2001,lowtemp_2002,lowtemp_2003,lowtemp_2004,lowtemp_2005,lowtemp_2006,lowtemp_2007,lowtemp_2008,lowtemp_2009,lowtemp_2010,lowtemp_2011,lowtemp_2012,lowtemp_2013,lowtemp_2014,lowtemp_2015,lowtemp_2016,lowtemp_2017,lowtemp_2018,lowtemp_2019,<span style='display:none;'>S2</span>,pollution_1990,pollution_1991,pollution_1992,pollution_1993,pollution_1994,pollution_1995,pollution_1996,pollution_1997,pollution_1998,pollution_1999,pollution_2000,pollution_2001,pollution_2002,pollution_2003,pollution_2004,pollution_2005,pollution_2006,pollution_2007,pollution_2008,pollution_2009,pollution_2010,pollution_2011,pollution_2012,pollution_2013,pollution_2014,pollution_2015,pollution_2016,pollution_2017,pollution_2018,pollution_2019
China,:cn: China,27.9496,27.7609,29.1582,25.9071,29.8855,29.1589,27.3807,28.1739,29.2119,27.917,28.5898,30.1182,29.5341,30.6012,29.2581,30.2425,30.3794,28.6723,27.2437,29.2702,31.6254,29.4457,29.3813,33.2524,28.6491,28.2409,31.1051,32.5785,31.4885,31.3471,,CN,China,36.5437,37.2435,36.9604,36.2692,36.8304,36.7779,37.1569,36.774,35.0649,35.6263,36.9233,35.9401,35.4431,35.9094,34.9094,36.3239,35.3007,35.599,35.6953,35.6565,36.7154,36.6035,36.4566,36.3372,34.9394,34.9232,35.5682,35.9089,35.8885,35.9811,,16.9225,17.467,18.0783,18.7477,19.4689,20.2335,21.0837,22.0846,23.1505,24.1943,25.1232,25.9185,26.7217,27.5407,28.3832,29.2526,30.2143,31.3797,32.64,33.881,34.9774,36.0994,37.3565,38.5446,39.4454,39.8293,38.7661,37.5264,37.3475,37.5658
North Korea,:kp: North Korea,24.6527,24.4328,24.4275,22.1265,29.0278,24.3599,24.4604,27.0261,23.802,26.5839,25.6789,24.1917,25.9096,23.2384,25.5662,25.7021,25.4112,23.7286,25.3034,24.4635,25.0172,24.824,26.7226,25.9238,25.907,24.5702,27.3445,26.338,32.9776,33.0558,,KP,Democratic People's Republic of Korea,34.4361,35.4447,35.0759,33.9411,35.8554,35.4067,35.4265,36.6862,32.9266,35.5374,36.9768,35.5578,34.6303,33.6436,33.8685,35.2728,34.6018,34.9732,34.0674,33.939,37.0632,35.024,35.4181,36.4851,33.5605,33.9454,34.2807,34.9287,35.4305,35.4035,,11.8029,11.8517,11.9238,12.0155,12.124,12.2448,12.3811,12.5571,12.764,12.9949,13.241,13.5129,13.8429,14.197,14.5411,14.8382,15.0554,15.2388,15.4267,15.6592,15.9754,16.7399,18.0472,19.5118,20.7178,21.2183,20.7502,20.2862,20.7059,21.8319
Gabon,:ga: Gabon,19.9015,19.6222,19.7399,19.7917,19.7784,19.9886,19.1685,19.6382,21.049,19.7603,19.713,19.8266,20.107,20.0987,20.2461,20.6722,20.1917,20.5129,19.9024,20.1146,20.7289,20.2301,20.0669,20.7278,20.3553,20.5282,21.2583,20.8223,20.4969,20.8258,,GA,Gabon,29.299,29.5072,28.9686,29.3135,29.2605,29.6105,29.1196,29.5528,30.043,29.0657,28.9758,29.0058,29.7098,29.9283,29.6169,29.6118,29.623,29.5715,29.5725,29.673,30.0499,29.7863,29.6983,29.6057,29.7743,29.8946,30.2356,30.0648,29.9531,30.1088,,13.4215,14.1738,14.9672,15.8008,16.6741,17.5865,18.6521,19.8836,21.1238,22.2029,22.9406,23.3812,23.7342,24.0509,24.3845,24.7901,25.3223,25.9742,26.7238,27.5485,28.4253,29.588,31.1018,32.6394,33.8411,34.3228,33.0174,31.7428,32.0781,33.3417
Burundi,:bi: Burundi,19.6878,20.1002,20.2518,20.2307,20.0787,19.8506,19.9952,20.9953,20.1269,20.589,20.3202,19.7587,20.0109,20.4549,20.3353,21.3157,21.1373,20.2999,20.6218,20.6849,20.7663,20.3884,20.9191,20.6777,20.4706,20.534300000000002,20.825,20.8122,20.6737,20.7529,,BI,Burundi,30.4005,30.6417,30.4817,30.4303,30.6473,30.2898,30.4171,30.4601,29.628,30.7401,30.1845,30.7284,30.2012,29.9153,29.8782,29.6605,30.1446,29.9633,30.3575,29.8587,29.2553,30.0347,29.8626,29.5303,29.4781,29.2083,28.8485,29.2248,29.4691,29.1526,,3.9301,3.9673,4.0037,4.0408,4.0757,4.1067,4.141,4.1801,4.217,4.2449,4.2574,4.2474,4.2211,4.1895,4.1638,4.1547,4.186,4.2654,4.3784,4.51,4.6454,4.8406,5.1152,5.3994,5.6223,5.7128,5.5914,5.4712,5.5254,5.6911
Comoros,:km: Comoros,19.3325,19.3139,19.3153,19.2262,19.1878,19.1869,19.3399,19.2652,20.2377,19.2128,19.3333,19.1933,19.5627,19.6918,19.4497,19.7155,19.2621,19.5497,19.2143,19.4875,19.9367,19.3554,19.5526,19.6628,19.668,19.5972,20.1243,19.6005,19.4353,19.8497,,KM,Comoros,25.9634,25.9524,25.8393,25.8327,26.1363,26.2027,25.7704,26.109,26.0458,25.8527,25.81,25.9663,26.3274,25.8698,25.799,25.8354,26.3798,25.779,26.3507,26.0998,25.8196,26.4041,26.0989,25.7375,26.0959,26.3815,25.2205,26.6356,26.278,25.7898,,2.9249,3.0434,3.1634,3.285,3.4081,3.5325,3.6574,3.7832,3.9114,4.0433,4.1807,4.3289,4.4887,4.6518,4.8094,4.9529,5.0766,5.1872,5.2953,5.4113,5.5459,5.74,5.9912,6.2436,6.4403,6.5237,6.4716,6.4206,6.5814,6.9514
Cambodia,:kh: Cambodia,23.2955,22.2177,24.1266,21.3281,19.4835,23.0771,20.7994,21.2398,29.6949,18.4736,19.349,22.5304,27.1007,26.003,24.6696,25.6005,22.3609,22.4628,20.6043,21.4973,28.1221,21.9244,25.1685,26.6119,25.7583,29.404,28.8984,22.7054,22.799,28.1385,,KH,Cambodia,26.1257,23.6423,25.4671,26.364,24.0742,25.2164,24.9854,24.3353,26.7499,26.0145,23.5138,24.398,22.9463,23.6336,23.0923,25.6133,24.3489,25.1232,23.5006,24.5457,23.5643,23.8554,24.328,25.7926,25.5957,23.3374,24.7124,25.6503,24.253,24.6598,,4.3612,4.3977,4.4594,4.5409,4.6371,4.7427,4.8724,5.0428,5.2459,5.4738,5.7186,6.003,6.3478,6.7243,7.1032,7.4544,7.8128,8.2107,8.5879,8.8828,9.0325,9.0703,9.0789,9.0656,9.0372,9.0007,8.9061,8.8431,9.0377,9.484
Indonesia,:id: Indonesia,18.7941,18.1379,17.8225,18.5619,18.7154,18.7132,18.7761,19.36,19.9081,18.3247,18.3147,18.4033,19.4183,19.2791,19.4467,19.3283,19.5385,19.2854,18.8296,19.9758,19.6889,19.0805,19.4655,19.6257,20.0113,20.3854,20.6876,19.9832,20.3699,20.5062,,ID,Indonesia,30.1978,29.9417,29.9309,30.1357,28.7468,30.2385,30.0871,29.9494,30.7836,29.7502,29.6891,29.6753,29.7701,29.8164,29.746,29.8856,29.5289,29.6427,29.3606,29.6916,30.2015,29.4752,29.5498,29.6819,29.587,29.6912,30.2497,29.8431,29.6735,29.6292,,11.7582,12.2494,12.7093,13.1195,13.4603,13.7121,13.8969,14.0705,14.2235,14.3453,14.4248,14.4253,14.384,14.3355,14.31,14.336,14.512,14.8777,15.3077,15.6714,15.8341,15.8113,15.731,15.6258,15.5192,15.4245,15.0952,14.8585,15.2071,15.9899
Malaysia,:my: Malaysia,18.8031,18.4605,18.3644,17.9378,18.0827,18.381,18.5542,18.7836,21.1264,18.2328,18.6524,18.7452,20.0364,19.724,19.8998,21.1565,18.8157,18.7209,18.2705,19.79,20.3723,19.0827,19.0859,20.1516,20.4122,20.4886,22.2936,20.177,20.2192,21.2981,,MY,Malaysia,29.0875,28.5571,28.5399,28.6394,29.1001,28.8472,28.2628,29.2836,30.0548,28.8889,29.0174,29.1786,29.7693,29.3312,29.0409,29.0203,29.5527,28.7524,28.588,28.7977,29.5463,28.691,29.2674,29.2099,28.5911,29.2741,30.388,29.5574,29.3747,30.2795,,25.0396,24.0662,23.1902,22.4245,21.7828,21.2791,20.8262,20.4189,20.0743,19.8093,19.6411,19.5361,19.5084,19.5115,19.4993,19.4252,19.1291,18.659300000000002,18.1533,17.7416,17.551,17.5237,17.5142,17.5097,17.4977,17.4652,16.4909,15.564,15.5849,15.7334
Ethiopia,:et: Ethiopia,20.24,20.232,21.0408,20.0364,21.0953,20.6634,20.6238,20.627,21.9504,20.9989,20.9758,20.5957,21.2881,21.5426,21.0296,21.6856,21.2681,21.6278,21.1702,22.0713,21.8181,22.161,21.7719,22.0416,21.5211,22.2037,23.2761,22.8591,22.024,23.3164,,ET,Ethiopia,29.7932,29.2635,30.4628,30.385,29.0724,28.639,29.7495,28.9778,28.5347,29.4299,30.542,30.3849,28.9058,29.9395,29.7162,29.099,28.7313,29.0193,29.3029,28.1091,28.9972,29.6452,28.7332,29.172,28.733,27.7316,28.2426,28.845,29.4538,28.6216,,2.3777,2.3514,2.3432,2.3494,2.366,2.3895,2.4486,2.5592,2.6955,2.8312,2.9392,3.0154,3.0836,3.1547,3.2398,3.3505,3.5365,3.8181,4.1557,4.509,4.8365,5.1397,5.4488,5.7593,6.0665,6.3659,6.6533,6.9418,7.2422,7.5528
Maldives,:mv: Maldives,18.4162,18.0698,17.464,17.2127,17.8059,17.8722,17.2664,17.9772,20.1723,17.3079,17.6674,17.8026,18.2472,18.4371,18.1709,18.9019,18.3723,18.3126,17.4865,18.4986,18.9734,18.2808,18.6257,18.5484,18.4838,19.0678,20.1617,18.786,18.265,19.4241,,MV,Maldives,0,24.3091,24.1058,24.6873,25.2667,24.6507,23.8197,0,24.0862,24.0512,24.2694,24.7139,0,24.4611,23.9986,24.903,25.1463,25.0494,24.0224,0,23.7376,23.7376,23.4028,23.7376,24.5144,0,0,24.9614,24.0297,0,,6.2667,6.8039,7.2636,7.6257,7.8702,7.9774,7.9145,7.7397,7.5317,7.366,7.3161,7.4082,7.6104,7.8841,8.19,8.4884,8.8389,9.2874,9.7356,10.0811,10.2194,9.9607,9.3373,8.5987,7.9868,7.736,8.2694,8.8299,8.8493,8.7522
